transactie_id;datum;tijd;klant_id;postcode;gender;leeftijd;email;categorie;aantal_items;bedrag_excl_korting;korting;bedrag_totaal;betaalmethode;medewerker_id
TX001499;2025-12-01;17:47:45;K00141;;;;;Dames;1;115,66;0;115,66;Pin;MW001
TX001993;2025-12-01;18:06:25;K00483;5046;V;50;k00483@example.com;Heren;1;68,12;0;68,12;Pin;MW002
TX000659;2025-12-01;19:35:52;K00395;4001;V;36;k00395@example.com;Sale;5;191,67;0;191,67;Pin;MW003
TX000307;2025-12-02;10:01:33;K00649;;;;;Accessoires;3;46,98;0;46,98;Creditcard;MW004
TX000856;2025-12-02;10:12:20;K00793;;;;;Heren;1;64,93;0;64,93;Creditcard;MW003
TX001020;2025-12-02;10:13:17;K00590;;;;;Dames;3;323,47;0;323,47;Creditcard;MW004
TX000761;2025-12-02;10:20:36;K00262;;;;;Dames;1;45,23;0;45,23;Creditcard;MW004
TX001861;2025-12-02;10:42:41;K00545;5038;M;19;k00545@example.com;Dames;2;108,51;0;108,51;Contant;MW001
TX002229;2025-12-02;10:59:33;K00092;5025;M;64;k00092@example.com;Accessoires;2;58,9;0;58,9;Pin;MW003
TX000472;2025-12-02;11:05:38;K00063;;;;;Accessoires;4;244,11;0;244,11;Pin;MW002
TX002193;2025-12-02;11:15:31;K00116;4001;V;41;k00116@example.com;Heren;2;107,23;0;107,23;Pin;MW001
TX000982;2025-12-02;11:19:55;K00059;4001;V;24;k00059@example.com;Dames;5;346,98;0;346,98;Pin;MW003
TX001025;2025-12-02;11:42:10;K00477;5014;M;31;k00477@example.com;Schoenen;1;142,15;0;142,15;Pin;MW003
TX000872;2025-12-02;12:09:20;K00394;4001;V;19;k00394@example.com;Dames;4;223,14;0;223,14;Pin;MW002
TX000635;2025-12-02;12:32:34;K00778;;;;;Accessoires;1;78,78;0;78,78;Pin;MW004
TX000209;2025-12-02;12:36:52;K00565;5014;V;38;k00565@example.com;Accessoires;2;54,74;0;54,74;Creditcard;MW003
TX001394;2025-12-02;12:51:45;K00734;;;;;Accessoires;2;83,75;0;83,75;Creditcard;MW001
TX000120;2025-12-02;13:29:37;K00266;5046;V;35;k00266@example.com;Dames;4;178,84;0;178,84;Contant;MW003
TX000824;2025-12-02;13:33:02;K00783;4818;V;34;k00783@example.com;Heren;3;297,17;0;297,17;Contant;MW002
TX000748;2025-12-02;13:37:00;K00525;4818;M;27;k00525@example.com;Dames;2;94,46;0;94,46;Pin;MW001
TX002467;2025-12-02;13:37:24;K00177;;;;;Dames;1;99,6;0;99,6;Contant;MW001
TX001144;2025-12-02;13:49:41;K00762;;;;;Dames;1;85,21;0;85,21;Contant;MW002
TX001066;2025-12-02;13:59:08;K00593;;;;;Heren;3;185,22;0;185,22;Pin;MW002
TX000724;2025-12-02;14:07:00;K00651;5038;V;29;k00651@example.com;Accessoires;3;205,63;0;205,63;Creditcard;MW003
TX000210;2025-12-02;14:26:41;K00338;5262;M;36;k00338@example.com;Accessoires;2;103,1;0;103,1;Pin;MW004
TX000532;2025-12-02;14:36:11;K00168;4001;V;21;k00168@example.com;Sale;1;20,31;2,41;17,9;Pin;MW004
TX002194;2025-12-02;14:43:46;K00467;;;;;Accessoires;1;38,74;0;38,74;Pin;MW004
TX000850;2025-12-02;14:50:00;K00513;;;;;Dames;4;466,33;0;466,33;Pin;MW004
TX000050;2025-12-02;14:50:37;K00037;;;;;Dames;3;203,28;0;203,28;Pin;MW001
TX000806;2025-12-02;15:12:32;K00131;5014;V;35;k00131@example.com;Dames;5;225,15;0;225,15;Pin;MW004
TX001898;2025-12-02;15:15:27;K00565;5042;V;31;k00565@example.com;Accessoires;1;72,15;0;72,15;Creditcard;MW002
TX000653;2025-12-02;15:23:10;K00044;5042;M;40;k00044@example.com;Sale;3;52,19;0;52,19;Creditcard;MW003
TX001917;2025-12-02;16:37:26;K00268;;;;;Heren;1;104,83;0;104,83;Pin;MW001
TX000743;2025-12-02;16:41:39;K00108;4001;M;50;k00108@example.com;Dames;4;337,13;0;337,13;Pin;MW003
TX002385;2025-12-02;16:51:19;K00426;5042;V;53;k00426@example.com;Accessoires;6;194,38;0;194,38;Pin;MW004
TX000169;2025-12-02;17:31:21;K00405;;;;;Dames;3;354,25;19,09;335,16;Pin;MW003
TX000960;2025-12-02;17:52:21;K00315;;;;;Heren;2;121,77;0;121,77;Pin;MW002
TX002024;2025-12-02;18:52:40;K00768;5014;V;34;k00768@example.com;Dames;3;192,03;0;192,03;Contant;MW004
TX001448;2025-12-03;10:06:05;K00339;5014;M;35;k00339@example.com;Dames;2;123,47;0;123,47;Creditcard;MW001
TX001231;2025-12-03;10:10:53;K00464;;;;;Dames;2;160,92;0;160,92;Pin;MW004
TX001017;2025-12-03;10:13:14;K00347;4818;V;21;k00347@example.com;Schoenen;2;168,48;0;168,48;Pin;MW004
TX001081;2025-12-03;10:55:33;K00250;4818;M;47;k00250@example.com;Sale;1;36,8;0;36,8;Creditcard;MW001
TX000952;2025-12-03;10:58:48;K00348;5014;V;31;k00348@example.com;Dames;3;106,38;0;106,38;Pin;MW004
TX001819;2025-12-03;11:23:22;K00124;4001;V;29;k00124@example.com;Dames;2;164,04;0;164,04;Creditcard;MW001
TX000744;2025-12-03;11:37:18;K00693;;;;;Dames;3;141,78;0;141,78;Contant;MW001
TX002239;2025-12-03;11:57:42;K00482;;;;;Schoenen;2;137,4;0;137,4;Creditcard;MW002
TX001665;2025-12-03;12:04:39;K00366;5038;M;44;k00366@example.com;Dames;3;225,59;0;225,59;Pin;MW002
TX002296;2025-12-03;12:33:26;K00155;;;;;Heren;3;244,15;35,67;208,48;Contant;MW002
TX000730;2025-12-03;12:34:31;K00661;;;;;Accessoires;4;117,98;0;117,98;Creditcard;MW001
TX000951;2025-12-03;13:04:21;K00038;5038;V;24;k00038@example.com;Heren;3;311,88;0;311,88;Contant;MW004
TX002217;2025-12-03;13:13:47;K00186;;;;;Dames;4;309,97;0;309,97;Pin;MW003
TX002010;2025-12-03;14:35:02;K00638;5038;V;39;k00638@example.com;Dames;3;111,75;0;111,75;Creditcard;MW004
TX001002;2025-12-03;15:01:38;K00376;;;;;Dames;4;232,58;0;232,58;Contant;MW003
TX001725;2025-12-03;15:31:11;K00646;5014;V;48;k00646@example.com;Accessoires;1;55,37;0;55,37;Contant;MW003
TX001320;2025-12-03;15:41:34;K00605;4001;V;42;k00605@example.com;Accessoires;2;110,35;11,81;98,54;Pin;MW003
TX000571;2025-12-03;15:50:47;K00440;;;;;Dames;2;78,7;0;78,7;Contant;MW001
TX001463;2025-12-03;16:15:40;K00037;;;;;Dames;4;284,02;0;284,02;Pin;MW003
TX000257;2025-12-03;16:16:45;K00470;4001;V;49;k00470@example.com;Dames;2;229,92;0;229,92;Contant;MW003
TX002052;2025-12-03;16:21:35;K00522;5014;V;44;k00522@example.com;Heren;2;177,95;0;177,95;Contant;MW004
TX002176;2025-12-03;16:30:40;K00644;5038;V;30;k00644@example.com;Heren;3;304,43;0;304,43;Pin;MW001
TX001052;2025-12-03;16:30:57;K00169;4001;M;68;k00169@example.com;Dames;1;94,93;0;94,93;Contant;MW001
TX002058;2025-12-03;16:45:49;K00081;;;;;Dames;2;182,56;0;182,56;Pin;MW002
TX001104;2025-12-03;17:19:11;K00381;5014;V;44;k00381@example.com;Dames;2;169,91;0;169,91;Creditcard;MW004
TX000981;2025-12-03;17:53:58;K00565;;;;;Accessoires;5;349,94;0;349,94;Pin;MW001
TX001208;2025-12-03;19:37:53;K00782;4001;M;33;k00782@example.com;Accessoires;2;43,07;0;43,07;Pin;MW001
TX002106;2025-12-04;10:29:43;K00166;;;;;Dames;5;251,3;0;251,3;Contant;MW003
TX001641;2025-12-04;10:32:30;K00651;;;;;Schoenen;6;378,89;0;378,89;Pin;MW001
TX001619;2025-12-04;10:35:34;K00412;;;;;Schoenen;2;121,1;0;121,1;Creditcard;MW004
TX000716;2025-12-04;10:41:41;K00260;5017;V;33;k00260@example.com;Dames;3;215,22;0;215,22;Pin;MW002
TX000406;2025-12-04;10:48:47;K00497;5038;V;28;k00497@example.com;Dames;2;139,49;0;139,49;Pin;MW002
TX002472;2025-12-04;11:39:49;K00108;;;;;Dames;5;433,28;0;433,28;Pin;MW003
TX000226;2025-12-04;12:06:34;K00351;5014;V;25;k00351@example.com;Dames;2;214,16;0;214,16;Contant;MW001
TX000138;2025-12-04;12:27:09;K00212;5025;V;42;k00212@example.com;Schoenen;2;124,39;0;124,39;Pin;MW004
TX000297;2025-12-04;13:21:45;K00164;;;;;Accessoires;5;98,05;0;98,05;Creditcard;MW002
TX002284;2025-12-04;13:32:16;K00177;;;;;Accessoires;3;182,65;0;182,65;Pin;MW003
TX001096;2025-12-04;13:35:18;K00681;5025;V;21;k00681@example.com;Dames;3;253,09;0;253,09;Pin;MW002
TX001838;2025-12-04;13:52:47;K00620;;;;;Accessoires;2;62,29;0;62,29;Pin;MW001
TX001689;2025-12-04;15:16:17;K00622;4001;V;19;k00622@example.com;Schoenen;4;407,09;0;407,09;Pin;MW004
TX000261;2025-12-04;15:24:08;K00396;;;;;Dames;4;159,48;0;159,48;Contant;MW002
TX001230;2025-12-04;15:26:20;K00506;;;;;Heren;1;88,08;0;88,08;Creditcard;MW001
TX001166;2025-12-04;15:30:20;K00511;;;;;Heren;5;471,93;88,89;383,04;Creditcard;MW001
TX001987;2025-12-04;15:37:36;K00256;;;;;Schoenen;1;80,98;0;80,98;Creditcard;MW004
TX002323;2025-12-04;15:48:09;K00643;;;;;Heren;3;218,39;0;218,39;Pin;MW004
TX001415;2025-12-04;15:50:26;K00677;;;;;Heren;1;104,73;0;104,73;Pin;MW001
TX001481;2025-12-04;16:09:34;K00272;5025;V;22;k00272@example.com;Schoenen;4;513,04;0;513,04;Pin;MW002
TX001319;2025-12-04;16:17:52;K00135;;;;;Sale;2;60,95;4,19;56,76;Pin;MW001
TX000645;2025-12-04;16:39:54;K00319;4001;V;28;k00319@example.com;Dames;4;466,93;60,03;406,9;Creditcard;MW001
TX001047;2025-12-04;16:51:11;K00527;;;;;Schoenen;3;261,13;0;261,13;Pin;MW003
TX000353;2025-12-04;17:03:33;K00491;;;;;Sale;6;166,79;0;166,79;Pin;MW004
TX001675;2025-12-04;17:16:14;K00067;;;;;Accessoires;2;64,88;0;64,88;Pin;MW001
TX000086;2025-12-04;19:23:17;K00376;5046;V;52;k00376@example.com;Dames;2;73,1;0;73,1;Creditcard;MW001
TX000252;2025-12-04;19:26:17;K00264;4001;V;43;k00264@example.com;Dames;4;249,52;0;249,52;Pin;MW003
TX001401;2025-12-04;19:33:42;K00424;;;;;Dames;2;109,29;0;109,29;Pin;MW004
TX002197;2025-12-04;19:54:23;K00713;5025;M;44;k00713@example.com;Schoenen;3;380,85;47,66;333,19;Pin;MW001
TX001630;2025-12-05;10:11:42;K00506;;;;;Dames;5;315,62;0;315,62;Pin;MW002
TX001199;2025-12-05;10:16:10;K00795;5042;V;46;k00795@example.com;Dames;2;117,09;0;117,09;Pin;MW001
TX002279;2025-12-05;10:18:31;K00250;;;;;Dames;3;219,92;0;219,92;Pin;MW003
TX002431;2025-12-05;10:22:57;K00176;4001;V;47;k00176@example.com;Schoenen;5;424,75;0;424,75;Pin;MW001
TX001488;2025-12-05;10:26:01;K00741;5038;M;48;k00741@example.com;Dames;2;209,87;0;209,87;Pin;MW003
TX001726;2025-12-05;10:29:00;K00434;;;;;Accessoires;3;155,14;21,5;133,64;Pin;MW004
TX001125;2025-12-05;10:45:35;K00436;5038;V;30;k00436@example.com;Dames;2;185,19;0;185,19;Pin;MW004
TX000148;2025-12-05;10:52:00;K00583;4001;V;64;k00583@example.com;Dames;3;330,14;0;330,14;Pin;MW003
TX001801;2025-12-05;10:57:54;K00336;4001;M;20;k00336@example.com;Dames;4;217,86;0;217,86;Pin;MW003
TX001972;2025-12-05;11:00:50;K00426;;;;;Dames;2;157,36;0;157,36;Pin;MW002
TX001833;2025-12-05;11:03:55;K00029;5121;V;32;k00029@example.com;Sale;7;285,1;0;285,1;Creditcard;MW002
TX000090;2025-12-05;11:24:22;K00706;;;;;Dames;4;371,71;74,31;297,4;Pin;MW004
TX001242;2025-12-05;12:14:37;K00384;;;;;Dames;3;334,31;0;334,31;Pin;MW004
TX000247;2025-12-05;12:37:18;K00046;4001;M;39;k00046@example.com;Dames;5;403,95;0;403,95;Pin;MW002
TX002126;2025-12-05;12:44:35;K00008;;;;;Dames;2;158,97;0;158,97;Pin;MW004
TX001981;2025-12-05;12:47:34;K00409;5046;V;30;k00409@example.com;Heren;2;166,32;0;166,32;Pin;MW004
TX000073;2025-12-05;12:58:06;K00348;5038;M;35;k00348@example.com;Accessoires;6;125,49;0;125,49;Contant;MW002
TX000734;2025-12-05;13:29:02;K00607;4001;M;18;k00607@example.com;Heren;4;181,55;0;181,55;Pin;MW001
TX002167;2025-12-05;13:48:02;K00683;4001;V;43;k00683@example.com;Dames;3;291,15;0;291,15;Pin;MW002
TX002432;2025-12-05;14:00:42;K00538;4001;M;69;k00538@example.com;Dames;2;131,92;0;131,92;Creditcard;MW003
TX000105;2025-12-05;14:14:36;K00700;4818;M;20;k00700@example.com;Heren;5;357,79;0;357,79;Pin;MW002
TX002090;2025-12-05;14:16:52;K00057;5262;M;51;k00057@example.com;Heren;4;326,69;0;326,69;Contant;MW004
TX001492;2025-12-05;14:23:19;K00212;4001;V;25;k00212@example.com;Schoenen;3;412,68;0;412,68;Creditcard;MW004
TX000088;2025-12-05;14:57:55;K00586;4001;V;28;k00586@example.com;Heren;2;165,49;13,44;152,05;Pin;MW001
TX000068;2025-12-05;15:08:39;K00729;;;;;Dames;4;342;0;342;Pin;MW003
TX000237;2025-12-05;15:13:23;K00338;5014;M;29;k00338@example.com;Dames;1;117,27;0;117,27;Contant;MW004
TX001252;2025-12-05;15:34:26;K00436;;;;;Schoenen;2;239,02;0;239,02;Pin;MW001
TX000095;2025-12-05;15:50:57;K00525;;;;;Schoenen;3;302,03;0;302,03;Pin;MW003
TX001461;2025-12-05;16:46:58;K00444;5038;M;32;k00444@example.com;Dames;6;222,65;0;222,65;Pin;MW004
TX000041;2025-12-05;17:03:16;K00494;4001;V;38;k00494@example.com;Dames;1;117,41;0;117,41;Pin;MW003
TX001779;2025-12-05;17:46:25;K00567;;;;;Dames;2;149,33;0;149,33;Pin;MW003
TX001068;2025-12-05;18:44:01;K00450;4001;V;51;k00450@example.com;Dames;2;210,05;0;210,05;Pin;MW003
TX002492;2025-12-05;18:53:46;K00023;;;;;Schoenen;3;217,23;0;217,23;Creditcard;MW003
TX001944;2025-12-06;10:17:17;K00079;;;;;Dames;4;195,37;0;195,37;Pin;MW002
TX000436;2025-12-06;10:26:38;K00379;;;;;Heren;4;369,44;0;369,44;Pin;MW001
TX001048;2025-12-06;11:43:18;K00404;5017;V;47;k00404@example.com;Accessoires;2;82,79;4,35;78,44;Pin;MW003
TX001664;2025-12-06;13:07:06;K00616;;;;;Accessoires;5;294,06;0;294,06;Contant;MW001
TX001762;2025-12-06;13:14:46;K00068;;;;;Accessoires;4;150,23;0;150,23;Contant;MW002
TX001274;2025-12-06;13:46:59;K00449;4001;V;24;k00449@example.com;Accessoires;5;389,01;0;389,01;Pin;MW002
TX000964;2025-12-06;14:19:44;K00682;;;;;Accessoires;3;136,46;0;136,46;Creditcard;MW002
TX001951;2025-12-06;14:26:28;K00428;;;;;Heren;2;170,42;0;170,42;Contant;MW003
TX001587;2025-12-06;14:40:24;K00303;;;;;Dames;3;179,67;0;179,67;Contant;MW001
TX001385;2025-12-06;14:42:32;K00275;;;;;Heren;4;253,72;0;253,72;Pin;MW002
TX001099;2025-12-06;15:51:46;K00398;5121;M;23;k00398@example.com;Dames;3;310,84;0;310,84;Pin;MW002
TX001149;2025-12-06;16:23:00;K00168;4001;V;54;k00168@example.com;Dames;4;388,96;0;388,96;Pin;MW003
TX000617;2025-12-06;19:28:56;K00298;4001;M;32;k00298@example.com;Dames;3;324,83;0;324,83;Creditcard;MW001
TX001776;2025-12-07;10:15:26;K00642;4001;V;44;k00642@example.com;Heren;3;308,16;0;308,16;Pin;MW003
TX000874;2025-12-07;10:17:43;K00497;5038;V;53;k00497@example.com;Schoenen;2;223,51;0;223,51;Pin;MW003
TX001906;2025-12-07;10:26:14;K00577;;;;;Dames;3;242,93;0;242,93;Pin;MW004
TX001228;2025-12-07;10:36:08;K00721;;;;;Schoenen;2;218,85;0;218,85;Contant;MW001
TX001471;2025-12-07;11:39:36;K00433;;;;;Dames;2;219,55;0;219,55;Pin;MW003
TX002491;2025-12-07;11:55:55;K00285;5046;V;48;k00285@example.com;Sale;5;193,48;0;193,48;Pin;MW004
TX001853;2025-12-07;13:21:23;K00795;;;;;Dames;3;235,87;0;235,87;Contant;MW001
TX002148;2025-12-07;13:28:58;K00501;;;;;Heren;4;373,69;19,33;354,36;Pin;MW002
TX000604;2025-12-07;13:35:48;K00366;;;;;Accessoires;1;54;0;54;Pin;MW001
TX000963;2025-12-07;13:59:37;K00352;5046;V;30;k00352@example.com;Dames;1;111,08;12,95;98,13;Contant;MW001
TX001671;2025-12-07;14:10:20;K00403;4001;V;49;k00403@example.com;Heren;2;126,79;15,4;111,39;Creditcard;MW004
TX000082;2025-12-07;14:48:52;K00256;5014;M;36;k00256@example.com;Dames;3;131,74;0;131,74;Creditcard;MW001
TX001155;2025-12-07;14:55:41;K00547;5042;V;23;k00547@example.com;Sale;1;17,53;0;17,53;Pin;MW002
TX002200;2025-12-07;15:41:39;K00561;4001;M;18;k00561@example.com;Dames;1;106,88;0;106,88;Contant;MW002
TX001829;2025-12-07;15:54:21;K00059;5121;V;36;k00059@example.com;Dames;2;129,06;0;129,06;Pin;MW001
TX002326;2025-12-07;16:41:13;K00479;5042;V;32;k00479@example.com;Heren;2;193,05;13,24;179,81;Contant;MW001
TX000027;2025-12-07;17:29:23;K00351;;;;;Heren;2;93,03;12,53;80,5;Pin;MW004
TX001510;2025-12-07;17:30:03;K00661;;;;;Heren;2;200,83;0;200,83;Creditcard;MW002
TX000528;2025-12-07;17:47:35;K00108;5042;V;72;k00108@example.com;Accessoires;3;174,75;0;174,75;Creditcard;MW002
TX001607;2025-12-08;10:05:52;K00242;;;;;Accessoires;2;72,44;12,13;60,31;Contant;MW002
TX001953;2025-12-08;10:10:11;K00650;;;;;Dames;1;109,62;0;109,62;Pin;MW001
TX001238;2025-12-08;10:13:18;K00175;;;;;Dames;3;327,17;59,44;267,73;Creditcard;MW003
TX002205;2025-12-08;10:19:46;K00228;;;;;Heren;3;234,74;0;234,74;Creditcard;MW001
TX000060;2025-12-08;10:51:12;K00781;;;;;Accessoires;5;327,57;56,1;271,47;Pin;MW001
TX000897;2025-12-08;10:57:51;K00581;5014;V;22;k00581@example.com;Dames;4;472,47;0;472,47;Pin;MW001
TX002181;2025-12-08;11:31:26;K00596;;;;;Dames;2;224,33;0;224,33;Contant;MW003
TX001960;2025-12-08;11:36:28;K00191;;;;;Dames;1;103,64;0;103,64;Contant;MW001
TX001645;2025-12-08;11:50:42;K00177;;;;;Dames;1;55,48;0;55,48;Pin;MW003
TX000370;2025-12-08;12:27:39;K00661;5046;V;19;k00661@example.com;Dames;4;424,18;45,79;378,39;Creditcard;MW001
TX000888;2025-12-08;13:11:31;K00063;;;;;Dames;1;91,99;0;91,99;Pin;MW001
TX002250;2025-12-08;13:14:46;K00331;;;;;Dames;2;129,23;0;129,23;Contant;MW002
TX000826;2025-12-08;14:52:51;K00438;5121;V;19;k00438@example.com;Dames;5;210,38;0;210,38;Pin;MW003
TX002442;2025-12-08;15:20:23;K00741;4001;V;18;k00741@example.com;Dames;3;125,61;0;125,61;Pin;MW001
TX001777;2025-12-08;15:22:33;K00629;4001;V;23;k00629@example.com;Schoenen;3;324,25;0;324,25;Pin;MW003
TX002210;2025-12-08;15:23:23;K00688;4001;V;18;k00688@example.com;Heren;1;72,86;0;72,86;Pin;MW001
TX000238;2025-12-08;15:26:41;K00119;5038;V;23;k00119@example.com;Heren;4;431,18;0;431,18;Contant;MW002
TX001398;2025-12-08;16:02:28;K00721;4001;M;22;k00721@example.com;Schoenen;5;382,97;0;382,97;Creditcard;MW004
TX001642;2025-12-08;16:09:23;K00293;5262;V;48;k00293@example.com;Heren;6;280,56;0;280,56;Pin;MW001
TX000134;2025-12-08;17:28:33;K00209;;;;;Heren;7;305,28;0;305,28;Pin;MW002
TX001315;2025-12-08;17:53:35;K00629;;;;;Heren;2;121,94;0;121,94;Contant;MW001
TX002486;2025-12-08;18:07:50;K00452;4001;V;28;k00452@example.com;Dames;7;357,6;0;357,6;Pin;MW001
TX000184;2025-12-08;18:26:00;K00146;4001;V;24;k00146@example.com;Accessoires;5;357,19;0;357,19;Pin;MW001
TX002041;2025-12-08;18:28:30;K00055;5038;V;37;k00055@example.com;Dames;2;151,49;0;151,49;Pin;MW001
TX000837;2025-12-08;18:34:28;K00436;;;;;Accessoires;3;109,26;0;109,26;Creditcard;MW002
TX001313;2025-12-08;18:49:47;K00436;;;;;Heren;1;42,4;0;42,4;Contant;MW004
TX002189;2025-12-08;18:58:33;K00148;;;;;Dames;4;193,4;0;193,4;Contant;MW003
TX001449;2025-12-08;19:52:54;K00148;;;;;Dames;1;119,39;0;119,39;Pin;MW002
TX001718;2025-12-09;10:10:05;K00597;;;;;Dames;2;148,63;0;148,63;Pin;MW001
TX000755;2025-12-09;10:24:22;K00308;;;;;Heren;3;120,78;0;120,78;Contant;MW003
TX002331;2025-12-09;10:25:59;K00034;;;;;Heren;3;134,96;0;134,96;Contant;MW004
TX000598;2025-12-09;10:29:14;K00671;4001;V;36;k00671@example.com;Accessoires;5;314,17;0;314,17;Contant;MW004
TX001608;2025-12-09;10:30:57;K00080;;;;;Schoenen;2;271,36;0;271,36;Contant;MW004
TX001298;2025-12-09;11:05:55;K00349;4001;M;36;k00349@example.com;Dames;4;467,58;0;467,58;Pin;MW001
TX001067;2025-12-09;11:52:02;K00677;;;;;Schoenen;3;328,81;0;328,81;Pin;MW001
TX001165;2025-12-09;12:06:38;K00252;5042;V;47;k00252@example.com;Heren;2;127,39;0;127,39;Pin;MW001
TX002264;2025-12-09;12:09:59;K00152;;;;;Accessoires;2;142,13;0;142,13;Pin;MW004
TX000093;2025-12-09;12:23:11;K00474;;;;;Schoenen;2;260,67;0;260,67;Pin;MW003
TX000019;2025-12-09;13:16:02;K00073;5038;M;28;k00073@example.com;Dames;2;164,88;21,95;142,93;Creditcard;MW002
TX001033;2025-12-09;13:19:24;K00694;;;;;Dames;3;304,33;0;304,33;Pin;MW003
TX001466;2025-12-09;13:36:32;K00671;4001;M;33;k00671@example.com;Dames;4;444,99;0;444,99;Contant;MW001
TX001676;2025-12-09;14:29:18;K00269;4001;M;38;k00269@example.com;Accessoires;2;157,2;0;157,2;Pin;MW001
TX000570;2025-12-09;15:16:13;K00515;;;;;Dames;4;144,2;0;144,2;Contant;MW004
TX000011;2025-12-09;15:39:12;K00551;;;;;Accessoires;2;136,01;0;136,01;Creditcard;MW004
TX000983;2025-12-09;16:00:08;K00590;;;;;Accessoires;4;121,99;0;121,99;Pin;MW001
TX001859;2025-12-09;16:14:24;K00612;;;;;Dames;2;106,93;0;106,93;Pin;MW003
TX000676;2025-12-09;16:37:49;K00737;5038;M;19;k00737@example.com;Schoenen;5;424,01;0;424,01;Contant;MW002
TX002116;2025-12-09;16:43:24;K00521;5014;V;37;k00521@example.com;Dames;3;179,85;14,06;165,79;Contant;MW001
TX001089;2025-12-09;16:56:22;K00700;5042;V;20;k00700@example.com;Heren;8;849,64;0;849,64;Creditcard;MW004
TX001259;2025-12-09;18:26:36;K00322;4001;V;33;k00322@example.com;Schoenen;1;81,95;0;81,95;Contant;MW002
TX001966;2025-12-09;18:48:30;K00221;;;;;Dames;3;174,7;0;174,7;Contant;MW004
TX001524;2025-12-09;19:18:31;K00268;5025;V;49;k00268@example.com;Dames;2;145,98;0;145,98;Pin;MW002
TX001273;2025-12-10;10:13:13;K00789;;;;;Dames;3;227,14;0;227,14;Contant;MW004
TX002096;2025-12-10;10:19:07;K00658;5121;V;24;k00658@example.com;Accessoires;2;84,97;10,61;74,36;Contant;MW003
TX001618;2025-12-10;10:23:34;K00740;;;;;Sale;2;39,06;0;39,06;Pin;MW001
